45234_4#37.cram	LG_LO_19T_078
45234_4#48.cram	LG_LO_19T_137
45234_4#59.cram	LG_LO_19T_081
45234_4#71.cram	LG_LO_19T_133
45234_4#72.cram	LG_LO_19T_086
45234_4#80.cram	LG_LO_19T_107
45234_2#6.cram	LG_LO_19T_087
45234_2#16.cram	LG_LO_19T_069
45234_2#27.cram	LG_LO_19T_008
45234_2#37.cram	LG_LO_19T_103
45234_2#47.cram	LG_LO_19T_113
45234_2#59.cram	LG_LO_19T_136
45234_4#73.cram	WK_LO_19T_062
45234_4#81.cram	WK_LO_19T_016
45234_2#7.cram	WK_LO_19T_045
45234_2#17.cram	WK_LO_19T_090
45234_2#28.cram	WK_LO_19T_061
45234_2#38.cram	WK_LO_19T_110
45234_2#48.cram	WK_LO_19T_034
45234_2#60.cram	WK_LO_19T_056
45234_4#82.cram	WK_LO_19T_024
45234_2#8.cram	WK_LO_19T_042
45234_2#18.cram	WK_LO_19T_099
45234_2#29.cram	WK_LO_19T_065
45234_2#39.cram	WK_LO_19T_036
45234_2#49.cram	WK_LO_19T_098
45234_2#61.cram	WK_LO_19T_032
45234_4#74.cram	WK_LO_19T_020
45234_4#83.cram	WK_LO_19T_015
45234_2#9.cram	WK_LO_19T_067
45234_2#19.cram	WK_LO_19T_088
45234_2#30.cram	WK_LO_19T_066
45234_2#40.cram	WK_LO_19T_017
45234_2#50.cram	WK_LO_19T_059
45234_2#62.cram	WK_LO_19T_050
45234_4#75.cram	WK_LO_19T_008
45234_2#10.cram	WK_LO_19T_039
45234_2#20.cram	WK_LO_19T_060
45234_2#31.cram	WK_LO_19T_092
45234_2#41.cram	WK_LO_19T_031
45234_2#51.cram	WK_LO_19T_086
45234_2#63.cram	WK_LO_19T_100
45234_4#76.cram	WK_LO_19T_010
45234_4#84.cram	WK_LO_19T_037
45234_2#11.cram	WK_LO_19T_094
45234_2#21.cram	WK_LO_19T_087
45234_2#32.cram	WK_LO_19T_106
45234_2#42.cram	WK_LO_19T_001
45234_2#52.cram	WK_LO_19T_033
45234_2#64.cram	WK_LO_19T_109
45234_4#77.cram	WK_LO_19T_084
45234_4#85.cram	WK_LO_19T_108
45234_2#12.cram	WK_LO_19T_043
45234_2#22.cram	WK_LO_19T_095
45234_2#43.cram	WK_LO_19T_025
45234_2#53.cram	WK_LO_19T_028
45234_2#65.cram	WK_LO_19T_064
45234_4#78.cram	WK_LO_19T_027
45234_2#1.cram	WK_LO_19T_014
45234_2#23.cram	FG_LO_19T_101
45234_2#44.cram	FG_LO_19T_003
45234_2#54.cram	FG_LO_19T_118
45234_2#66.cram	FG_LO_19T_121
45234_2#2.cram	FG_LO_19T_140
45234_2#13.cram	FG_LO_19T_139
45234_2#33.cram	FG_LO_19T_008
45234_2#45.cram	FG_LO_19T_028
45234_2#55.cram	FG_LO_19T_084
45234_2#3.cram	FG_LO_19T_005
45234_2#14.cram	FG_LO_19T_026
45234_2#24.cram	FG_LO_19T_094
45234_2#34.cram	FG_LO_19T_029
45234_2#56.cram	FG_LO_19T_019
45234_2#67.cram	FG_LO_19T_149
45234_2#4.cram	FG_LO_19T_133
45234_2#25.cram	FG_LO_19T_007
45234_2#35.cram	FG_LO_19T_114
45234_2#46.cram	FG_LO_19T_001
45234_2#57.cram	FG_LO_19T_125
45234_4#79.cram	FG_LO_19T_025
45234_2#5.cram	FG_LO_19T_123
45234_2#15.cram	FG_LO_19T_106
45234_2#26.cram	FG_LO_19T_117
45234_2#36.cram	FG_LO_19T_135
45234_2#58.cram	FG_LO_19T_130
45234_2#68.cram	FG_LO_19T_128
45269_4#3.cram	FG_LO_19T_136
45269_4#15.cram	FG_LO_19T_111
45269_4#25.cram	FG_LO_19T_085
45269_4#37.cram	FG_LO_19T_096
45269_4#59.cram	FG_LO_19T_011
45234_2#69.cram	FG_LO_19T_021
45234_2#79.cram	FG_LO_19T_131
45269_4#4.cram	FG_LO_19T_120
45269_4#16.cram	FG_LO_19T_099
45269_4#26.cram	TL_LO_19T_010
45269_4#38.cram	TL_LO_19T_020
45269_4#48.cram	TL_LO_19T_030
45269_4#60.cram	TL_LO_19T_041
45234_2#70.cram	TL_LO_19T_021
45234_2#80.cram	TL_LO_19T_051
45269_4#5.cram	TL_LO_19T_060
45269_4#17.cram	TL_LO_19T_066
45269_4#27.cram	TL_LO_19T_080
45269_4#39.cram	TL_LO_19T_090
45269_4#49.cram	TL_LO_19T_008
45269_4#61.cram	TL_LO_19T_018
45234_2#71.cram	TL_LO_19T_028
45269_4#6.cram	TL_LO_19T_002
45269_4#18.cram	TL_LO_19T_049
45269_4#28.cram	TL_LO_19T_059
45269_4#40.cram	TL_LO_19T_062
45269_4#50.cram	TL_LO_19T_078
45269_4#62.cram	TL_LO_19T_087
45234_2#72.cram	TL_LO_19T_006
45234_2#81.cram	TL_LO_19T_016
45269_4#7.cram	TL_LO_19T_026
45269_4#19.cram	TL_LO_19T_035
45269_4#29.cram	TL_LO_19T_072
45269_4#41.cram	TL_LO_19T_047
45269_4#51.cram	TL_LO_19T_056
45269_4#63.cram	TL_LO_19T_070
45234_2#73.cram	TL_LO_19T_076
45234_2#82.cram	TL_LO_19T_089
45269_4#8.cram	TL_LO_19T_004
45269_4#20.cram	TL_LO_19T_014
45269_4#30.cram	TL_LO_19T_024
45269_4#42.cram	TL_LO_19T_033
45269_4#52.cram	TL_LO_19T_040
45269_4#64.cram	TL_LO_19T_045
45269_4#9.cram	TL_LO_19T_074
45269_4#31.cram	TL_LO_19T_001
45269_4#43.cram	TL_LO_19T_012
45269_4#53.cram	TL_LO_19T_022
45269_4#65.cram	TL_LO_19T_032
45234_2#74.cram	TL_LO_19T_071
45234_2#83.cram	TL_LO_19T_043
45269_4#10.cram	TL_LO_19T_054
45269_4#21.cram	TL_LO_19T_068
45269_4#32.cram	TL_LO_19T_082
45269_4#54.cram	SR_LO_19T_046
45269_4#66.cram	SR_LO_19T_079
45234_2#75.cram	SR_LO_19T_063
45234_2#84.cram	SR_LO_19T_043
45269_4#11.cram	SR_LO_19T_039
45269_4#22.cram	SR_LO_19T_090
45269_4#33.cram	SR_LO_19T_044
45269_4#44.cram	SR_LO_19T_056
45269_4#55.cram	SR_LO_19T_081
45269_4#67.cram	SR_LO_19T_066
45234_2#76.cram	SR_LO_19T_076
45234_2#85.cram	SR_LO_19T_051
45269_4#12.cram	SR_LO_19T_077
45269_4#34.cram	SR_LO_19T_061
45269_4#45.cram	SR_LO_19T_069
45269_4#56.cram	SR_LO_19T_095
45269_4#68.cram	SR_LO_19T_038
45234_2#77.cram	SR_LO_19T_047
45269_4#1.cram	SR_LO_19T_098
45269_4#13.cram	SR_LO_19T_045
45269_4#23.cram	SR_LO_19T_050
45269_4#35.cram	SR_LO_19T_018
45269_4#46.cram	SR_LO_19T_020
45269_4#57.cram	SR_LO_19T_093
45269_4#69.cram	SR_LO_19T_007
45234_2#78.cram	SR_LO_19T_075
45269_4#2.cram	SR_LO_19T_068
45269_4#14.cram	SR_LO_19T_088
45269_4#24.cram	SR_LO_19T_023
45269_4#36.cram	SR_LO_19T_013
45269_4#47.cram	SR_LO_19T_053
45269_4#58.cram	SR_LO_19T_009
45269_4#70.cram	SR_LO_19T_003
45269_4#71.cram	SR_LO_19T_010
45269_4#73.cram	SR_LO_19T_054
45269_4#75.cram	SR_LO_19T_022
45269_4#77.cram	SR_LO_19T_052
45269_4#79.cram	SR_LO_19T_055
45269_4#81.cram	SR_LO_19T_004
45269_4#83.cram	SR_LO_19T_033
45269_4#72.cram	SR_LO_19T_089
45269_4#74.cram	SR_LO_19T_005
45269_4#76.cram	SR_LO_19T_017
45269_4#78.cram	SR_LO_19T_011
45269_4#80.cram	SR_LO_19T_034
45269_4#82.cram	SR_LO_19T_049
45269_4#84.cram	SR_LO_19T_001
45269_4#85.cram	SR_LO_19T_096
